sweep,run_name,seed,user_id,target,metric,value
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,nrmse,0.04113103594098772
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,nsharpness,0.03511624290829613
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,pinball_q10,17.470125198364258
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,pinball_q50,48.65033721923828
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,pinball_q90,28.142179489135742
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,r2,0.9067522195433881
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,rmse,345.5007019042969
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,rmse_maxnorm,0.011996552348136902
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,sharpness,294.9764404296875
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,coverage,0.9193259002947585
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,efe,18.572019577026367
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,export_violation_count,749.0
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,export_violation_mag,299.1854248046875
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,export_violation_rate,0.04799436114315007
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,mae,107.76176452636719
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,mape,62.56718063354492
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,mbe,-51.7464599609375
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,nexport_violation_mag,0.0623302968343099
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,nmae,0.022450367609659832
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,nmbe,-0.010780512491861979
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,npinball_q10,0.0038101681073506675
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,npinball_q50,0.011225183804829916
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,npinball_q90,0.007864938577016195
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,nrmse,0.06379358291625976
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,nsharpness,0.05629699071248372
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,pinball_q10,18.288806915283203
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,pinball_q50,53.880882263183594
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,pinball_q90,37.751705169677734
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,r2,0.807947682087369
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,rmse,306.2091979980469
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,rmse_maxnorm,0.04115714877843857
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,103,pv,sharpness,270.2255554199219
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,coverage,0.936009159722664
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,efe,9.6743803024292
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,export_violation_count,677.0
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,export_violation_mag,249.60035705566406
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,export_violation_rate,0.043063418357610836
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,mae,100.82772064208984
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,mape,61.990421295166016
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,mbe,-28.454452514648438
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,nexport_violation_mag,0.02818432216075701
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,nmae,0.011385243974942394
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,nmbe,-0.003213014059919652
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,npinball_q10,0.002046678555151742
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,npinball_q50,0.005692621987471197
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,npinball_q90,0.0032176269317599386
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,nrmse,0.04068120665235787
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,nsharpness,0.0345607781690203
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,pinball_q10,18.125385284423828
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,pinball_q50,50.41386032104492
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,pinball_q90,28.495304107666016
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,r2,0.9082296217084929
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,rmse,360.27276611328125
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,rmse_maxnorm,0.01305336132645607
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,104,pv,sharpness,306.07025146484375
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,coverage,0.9233235030132069
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,efe,17.880393981933594
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,export_violation_count,791.0
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,export_violation_mag,289.6308288574219
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,export_violation_rate,0.05071162969611489
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,mae,110.52745819091797
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,mape,58.12476348876953
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,mbe,-54.6023063659668
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,nexport_violation_mag,0.05886805464581745
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,nmae,0.022464930526609344
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,nmbe,-0.011098029749180243
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,npinball_q10,0.0038095214502598214
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,npinball_q50,0.011232465263304672
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,npinball_q90,0.007852539589734581
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,nrmse,0.06305135711421811
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,nsharpness,0.05809140089081555
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,pinball_q10,18.74284553527832
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,pinball_q50,55.263729095458984
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,pinball_q90,38.63449478149414
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,r2,0.8273167535454062
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,rmse,310.2126770019531
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,rmse_maxnorm,0.0416952520608902
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,105,pv,sharpness,285.8096923828125
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,coverage,0.9382151029748284
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,efe,9.28796100616455
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,export_violation_count,662.0
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,export_violation_mag,252.25112915039062
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,export_violation_rate,0.042079837274345284
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,mae,104.94560241699219
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,mape,58.360923767089844
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,mbe,-29.9943904876709
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,nexport_violation_mag,0.026276159286499023
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,nmae,0.010931833585103353
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,nmbe,-0.003124415675799052
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,npinball_q10,0.0020154748360315957
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,npinball_q50,0.0054659167925516765
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,npinball_q90,0.0031103487809499104
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,nrmse,0.03833579381306966
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,nsharpness,0.03364386876424154
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,pinball_q10,19.34855842590332
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,pinball_q50,52.472801208496094
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,pinball_q90,29.85934829711914
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,r2,0.913885788021108
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,rmse,368.02362060546875
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,rmse_maxnorm,0.013334189541637897
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,109,pv,sharpness,322.98114013671875
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,110,pv,coverage,0.923190357119959
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,110,pv,efe,16.83420753479004
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,110,pv,export_violation_count,809.0
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,110,pv,export_violation_mag,289.828369140625
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,110,pv,export_violation_rate,0.051868949156889145
