arch,condition,mitigation,device,target,metric,value,data_source
lstm,mixed_cadence,none,cuda,pv,export_violation_rate,0.1066666666666666,real_p1
lstm,mixed_cadence,none,cuda,pv,export_violation_count,16.0,real_p1
lstm,mixed_cadence,none,cuda,pv,export_violation_mag,0.0377665981650352,real_p1
lstm,mixed_cadence,none,cuda,pv,nrmse,0.0828224934286885,real_p1
lstm,mixed_cadence,none,cuda,pv,nmae,0.0354592772876852,real_p1
lstm,mixed_cadence,none,cuda,pv,nmbe,0.0172525214715953,real_p1
lstm,mixed_cadence,none,cuda,pv,npinball_q10,0.0078156820259506,real_p1
lstm,mixed_cadence,none,cuda,pv,npinball_q50,0.0177296386438426,real_p1
lstm,mixed_cadence,none,cuda,pv,npinball_q90,0.012101558224882,real_p1
lstm,mixed_cadence,none,cuda,pv,nsharpness,0.1077848194862352,real_p1
lstm,mixed_cadence,none,cuda,pv,nexport_violation_mag,1.540487555053717e-05,real_p1
mlp,control_5min,none,cuda,pv,rmse,197.0498962402344,real_p1
mlp,control_5min,none,cuda,pv,rmse_maxnorm,0.0736359506845474,real_p1
mlp,control_5min,none,cuda,pv,mae,67.70891571044922,real_p1
mlp,control_5min,none,cuda,pv,mape,40.10517883300781,real_p1
mlp,control_5min,none,cuda,pv,r2,0.9080890442225772,real_p1
mlp,control_5min,none,cuda,pv,mbe,-26.94132232666016,real_p1
mlp,control_5min,none,cuda,pv,efe,7.620877742767334,real_p1
mlp,control_5min,none,cuda,pv,pinball_q10,12.582826614379885,real_p1
mlp,control_5min,none,cuda,pv,pinball_q50,33.85445785522461,real_p1
mlp,control_5min,none,cuda,pv,pinball_q90,25.28728103637696,real_p1
mlp,control_5min,none,cuda,pv,coverage,0.88,real_p1
mlp,control_5min,none,cuda,pv,sharpness,194.2428131103516,real_p1
mlp,control_5min,none,cuda,pv,export_violation_rate,0.5333333333333333,real_p1
mlp,control_5min,none,cuda,pv,export_violation_count,80.0,real_p1
mlp,control_5min,none,cuda,pv,export_violation_mag,0.0087964814156293,real_p1
mlp,control_5min,none,cuda,pv,nrmse,0.0803760273976013,real_p1
mlp,control_5min,none,cuda,pv,nmae,0.0276182518643404,real_p1
mlp,control_5min,none,cuda,pv,nmbe,-0.0109892798868325,real_p1
mlp,control_5min,none,cuda,pv,npinball_q10,0.0051324950481763,real_p1
mlp,control_5min,none,cuda,pv,npinball_q50,0.0138091259321702,real_p1
mlp,control_5min,none,cuda,pv,npinball_q90,0.0103146016931303,real_p1
mlp,control_5min,none,cuda,pv,nsharpness,0.0792310270963591,real_p1
mlp,control_5min,none,cuda,pv,nexport_violation_mag,3.588056856437741e-06,real_p1
mlp,mixed_cadence,none,cuda,pv,rmse,199.58355712890625,real_p1
mlp,mixed_cadence,none,cuda,pv,rmse_maxnorm,0.0745827630162239,real_p1
mlp,mixed_cadence,none,cuda,pv,mae,73.6253662109375,real_p1
mlp,mixed_cadence,none,cuda,pv,mape,42.21772384643555,real_p1
mlp,mixed_cadence,none,cuda,pv,r2,0.9046127052263891,real_p1
mlp,mixed_cadence,none,cuda,pv,mbe,-25.286104202270508,real_p1
mlp,mixed_cadence,none,cuda,pv,efe,7.15266227722168,real_p1
mlp,mixed_cadence,none,cuda,pv,pinball_q10,16.694746017456055,real_p1
mlp,mixed_cadence,none,cuda,pv,pinball_q50,36.81268310546875,real_p1
mlp,mixed_cadence,none,cuda,pv,pinball_q90,22.90315818786621,real_p1
mlp,mixed_cadence,none,cuda,pv,coverage,0.8666666666666667,real_p1
mlp,mixed_cadence,none,cuda,pv,sharpness,194.50146484375,real_p1
mlp,mixed_cadence,none,cuda,pv,export_violation_rate,0.5133333333333333,real_p1
mlp,mixed_cadence,none,cuda,pv,export_violation_count,77.0,real_p1
mlp,mixed_cadence,none,cuda,pv,export_violation_mag,0.0083040054887533,real_p1
mlp,mixed_cadence,none,cuda,pv,nrmse,0.081409499634277,real_p1
mlp,mixed_cadence,none,cuda,pv,nmae,0.0300315532494071,real_p1
mlp,mixed_cadence,none,cuda,pv,nmbe,-0.0103141216662326,real_p1
mlp,mixed_cadence,none,cuda,pv,npinball_q10,0.0068097339247472,real_p1
mlp,mixed_cadence,none,cuda,pv,npinball_q50,0.0150157766247035,real_p1
mlp,mixed_cadence,none,cuda,pv,npinball_q90,0.0093421255485221,real_p1
mlp,mixed_cadence,none,cuda,pv,nsharpness,0.0793365303176586,real_p1
mlp,mixed_cadence,none,cuda,pv,nexport_violation_mag,3.387177488589753e-06,real_p1
gnn,control_5min,none,cuda,pv,rmse,410.2203063964844,
gnn,control_5min,none,cuda,pv,rmse_maxnorm,0.0142437582835555,
gnn,control_5min,none,cuda,pv,mae,107.1984634399414,
gnn,control_5min,none,cuda,pv,mape,56.52985000610352,
gnn,control_5min,none,cuda,pv,r2,0.8011731883873037,
gnn,control_5min,none,cuda,pv,mbe,-42.70624542236328,
gnn,control_5min,none,cuda,pv,efe,16.528575897216797,
gnn,control_5min,none,cuda,pv,pinball_q10,16.66916847229004,
gnn,control_5min,none,cuda,pv,pinball_q50,53.5992317199707,
gnn,control_5min,none,cuda,pv,pinball_q90,49.64241409301758,
gnn,control_5min,none,cuda,pv,coverage,0.8796327398947487,
gnn,control_5min,none,cuda,pv,sharpness,347.8101501464844,
gnn,control_5min,none,cuda,pv,export_violation_rate,0.4796775277124622,
gnn,control_5min,none,cuda,pv,export_violation_count,4284.0,
gnn,control_5min,none,cuda,pv,export_violation_mag,10.02993869781494,
gnn,control_5min,none,cuda,pv,nrmse,0.0584759433428747,
gnn,control_5min,none,cuda,pv,nmae,0.0152808897482968,
gnn,control_5min,none,cuda,pv,nmbe,-0.0060876752046773,
gnn,control_5min,none,cuda,pv,npinball_q10,0.0023761509022333,
gnn,control_5min,none,cuda,pv,npinball_q50,0.0076404448741484,
gnn,control_5min,none,cuda,pv,npinball_q90,0.007076409794061,
gnn,control_5min,none,cuda,pv,nsharpness,0.0495795218249997,
gnn,control_5min,none,cuda,pv,nexport_violation_mag,0.0014297442566362,
gnn,mixed_cadence,none,cuda,pv,rmse,436.7533874511719,
gnn,mixed_cadence,none,cuda,pv,rmse_maxnorm,0.0151650458574295,
gnn,mixed_cadence,none,cuda,pv,mae,108.82745361328124,
gnn,mixed_cadence,none,cuda,pv,mape,55.41842651367188,
gnn,mixed_cadence,none,cuda,pv,r2,0.7755650408571156,
